gene_id,level,gwas_year,patents_before,patents_after
7040,2,2010,5.0,22.0
1432,1,2012,60.0,13.0
5600,1,2012,2.0,0.0
3572,1,2008,1.0,2.0
3605,1,2008,2.0,46.0
59067,1,2008,3.0,14.0
50615,1,2008,1.0,7.0
50616,1,2008,1.0,14.0
2475,1,2012,2.0,11.0
4089,1,2007,0.0,1.0
112744,1,2008,0.0,26.0
7046,1,2010,1.0,2.0
4773,2,2008,0.0,5.0
3091,1,2008,0.0,14.0
3594,1,2008,0.0,7.0
6778,2,2008,0.0,1.0
861,1,2012,0.0,2.0
4087,1,2007,0.0,1.0
50943,1,2010,0.0,4.0
3561,1,2008,0.0,2.0
3570,0,2016,17.0,14.0
6774,0,2008,1.0,16.0
149233,0,2007,0.0,19.0
6097,0,2012,0.0,38.0
4088,0,2010,0.0,2.0
