gene_id,gwas_source_gene,gwas_level,gwas_year_chosen
3570,3570,0,2016
6774,3570,1,2016
112744,3570,2,2016
3561,3570,2,2016
3594,3570,2,2016
149233,3570,2,2016
6097,3570,2,2016
3572,3570,2,2016
3091,3570,2,2016
3605,3570,2,2016
50615,3570,2,2016
50616,3570,2,2016
59067,3570,2,2016
4773,3570,3,2016
6778,3570,3,2016
4088,3570,3,2016
4089,3570,3,2016
4087,3570,3,2016
5600,3570,3,2016
2475,3570,3,2016
1432,3570,3,2016
861,3570,3,2016
50943,3570,3,2016
4088,4088,0,2010
7046,4088,1,2010
3594,4088,1,2010
6097,4088,1,2010
149233,4088,1,2010
50943,4088,1,2010
7040,4088,2,2010
4089,4088,2,2010
4087,4088,2,2010
6774,4088,2,2010
5600,4088,2,2010
50616,4088,2,2010
112744,4088,2,2010
2475,4088,2,2010
3605,4088,2,2010
1432,4088,2,2010
59067,4088,2,2010
861,4088,2,2010
3561,4088,3,2010
3570,4088,3,2010
3572,4088,3,2010
3091,4088,3,2010
50615,4088,3,2010
4773,4088,3,2010
6097,6097,0,2012
5600,6097,1,2012
50616,6097,1,2012
112744,6097,1,2012
2475,6097,1,2012
3605,6097,1,2012
6774,6097,1,2012
4087,6097,1,2012
1432,6097,1,2012
4089,6097,1,2012
59067,6097,1,2012
4088,6097,1,2012
861,6097,1,2012
50943,6097,1,2012
4773,6097,2,2012
3561,6097,2,2012
3594,6097,2,2012
149233,6097,2,2012
3570,6097,2,2012
3572,6097,2,2012
3091,6097,2,2012
50615,6097,2,2012
7046,6097,2,2012
6778,6097,3,2012
7040,6097,3,2012
6774,6774,0,2008
112744,6774,1,2008
3561,6774,1,2008
3594,6774,1,2008
149233,6774,1,2008
3570,6774,1,2008
6097,6774,1,2008
3572,6774,1,2008
3091,6774,1,2008
3605,6774,1,2008
50615,6774,1,2008
50616,6774,1,2008
59067,6774,1,2008
4773,6774,2,2008
6778,6774,2,2008
4088,6774,2,2008
4089,6774,2,2008
4087,6774,2,2008
5600,6774,2,2008
2475,6774,2,2008
1432,6774,2,2008
861,6774,2,2008
50943,6774,2,2008
7046,6774,3,2008
149233,149233,0,2007
4088,149233,1,2007
4089,149233,1,2007
6774,149233,1,2007
4087,149233,1,2007
7046,149233,2,2007
3594,149233,2,2007
6097,149233,2,2007
50943,149233,2,2007
112744,149233,2,2007
3561,149233,2,2007
3570,149233,2,2007
3572,149233,2,2007
3091,149233,2,2007
3605,149233,2,2007
50615,149233,2,2007
50616,149233,2,2007
59067,149233,2,2007
7040,149233,3,2007
5600,149233,3,2007
2475,149233,3,2007
1432,149233,3,2007
861,149233,3,2007
4773,149233,3,2007
6778,149233,3,2007
